amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
171-1589845-1894723	171-1589845-1894723	2017-06-29T18:33:31+00:00	2017-06-30T05:36:33+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	899.0		50.0					50.0	THRISSUR	KERALA	680545	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
S02-7262889-4824302	170629BUE	2017-06-29T11:16:00+00:00	2017-06-29T23:53:22+00:00	Shipped	Amazon	Non-Amazon			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro , Max 2 , Pro3 , S3/ Samsung Galaxy S8 / Google Pixel / Macbook / Chromebook / Motorola M / Honor 8 / Nexus 5X , 6P / Xiaomi Mi 4C , 5 and All Type C Devices (Red)	8944638557234	B06Y2CJ7XZ	Unshipped	235										Thane	Maharashtra	421302	IN		
405-4350086-6417919	405-4350086-6417919	2017-06-29T16:01:56+00:00	2017-06-29T19:43:41+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								AHMEDABAD	GUJARAT	382481	IN		
404-4281984-6425926	404-4281984-6425926	2017-06-29T15:09:27+00:00	2017-06-29T16:53:59+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		150.0						MUMBAI	MAHARASHTRA	400050	IN		
406-0170425-7065163	406-0170425-7065163	2017-06-29T10:00:34+00:00	2017-06-29T12:50:42+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								new delhi	DELHI	110030	IN		
406-1530721-4206720	406-1530721-4206720	2017-06-29T03:02:57+00:00	2017-06-29T05:27:43+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0		16.67					16.67	GHAZIABAD	UTTAR PRADESH	201007	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-8416746-6168310	405-8416746-6168310	2017-06-27T15:23:41+00:00	2017-06-27T23:19:06+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								COIMBATORE	TAMIL NADU	641016	IN		
405-4445053-2100310	405-4445053-2100310	2017-06-27T02:40:13+00:00	2017-06-27T16:29:34+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0								MUMBAI	MAHARASHTRA	400030	IN		
404-4495696-1337163	404-4495696-1337163	2017-06-26T18:00:38+00:00	2017-06-27T07:37:23+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		50.0					50.0	Hyderabad	TELANGANA	500045	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
404-3547406-4701102	404-3547406-4701102	2017-06-26T14:10:19+00:00	2017-06-27T04:45:11+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Onepl	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0								Hyderabad	Andhra Pradesh	500008	IN		
