amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by 
402-4848543-0600324	402-4848543-0600324	2017-08-30T05:16:38+00:00	2017-08-30T07:02:43+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	SURAT	GUJARAT	395007	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
407-3158595-1889128	407-3158595-1889128	2017-08-29T18:32:13+00:00	2017-08-30T06:18:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								MAUDAHA	UTTAR PRADESH	210507	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
407-3158595-1889128	407-3158595-1889128	2017-08-29T18:32:13+00:00	2017-08-30T06:18:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	799.0								MAUDAHA	UTTAR PRADESH	210507	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
402-0021613-3113954	402-0021613-3113954	2017-08-29T12:44:11+00:00	2017-08-29T21:09:02+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								HYDERABAD	TELANGANA	500076	IN		false			
404-1477808-5798762	404-1477808-5798762	2017-08-28T23:15:23+00:00	2017-08-29T06:12:35+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	799.0								PUNE	MAHARASHTRA	411041	IN		false			
171-3579277-2573167	171-3579277-2573167	2017-08-28T17:03:43+00:00	2017-08-28T22:42:46+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	799.0		50.0					50.0	BENGALURU	KARNATAKA	560091	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
402-4002767-4952320	402-4002767-4952320	2017-08-28T14:40:57+00:00	2017-08-28T20:44:38+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	799.0								MARGHERITA	ASSAM	786181	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
404-1974665-5144330	404-1974665-5144330	2017-08-28T10:31:31+00:00	2017-08-28T16:22:18+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								Ghaziabad	UTTAR PRADESH	201010	IN		false			
406-1947048-7937126	406-1947048-7937126	2017-08-28T07:57:45+00:00	2017-08-28T13:24:16+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	799.0								Bengaluru	KARNATAKA	560048	IN		false			
406-4078624-1973927	406-4078624-1973927	2017-08-28T03:57:37+00:00	2017-08-28T12:59:52+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	799.0		50.0					50.0	Haldwani	UTTARAKHAND	263139	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
