amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
402-1028692-6693916	402-1028692-6693916	2017-07-30T05:10:41+00:00	2017-07-30T10:49:07+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	849.0		50.0					50.0	New Delhi	Delhi	110049	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
404-9975656-2647537	404-9975656-2647537	2017-07-30T03:02:43+00:00	2017-07-30T11:14:28+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								Mumbai	MAHARASHTRA	400026	IN		
407-4462369-3722710	407-4462369-3722710	2017-07-29T15:35:31+00:00	2017-07-29T19:18:41+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		12.5					12.5	NEW DELHI	DELHI	110094	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-9462908-7929923	405-9462908-7929923	2017-07-29T06:43:12+00:00	2017-07-29T09:13:24+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	849.0								BANGALORE	KARNATAKA	560084	IN		
402-2466998-3461960	402-2466998-3461960	2017-07-28T16:38:17+00:00	2017-07-28T19:43:54+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	849.0								GURUGRAM	HARYANA	122003	IN		
402-7244719-7449901	402-7244719-7449901	2017-07-28T16:35:19+00:00	2017-07-29T16:51:17+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Unshipped	1	INR	849.0								EAST DELHI	DELHI	110095	IN		
407-5160343-4841910	407-5160343-4841910	2017-07-28T15:01:44+00:00	2017-07-31T05:13:48+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		5.56					5.56	PALLIKKUNNU	KERALA	670004	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
407-3127808-6099507	407-3127808-6099507	2017-07-28T14:19:35+00:00	2017-07-28T14:19:41+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										PALLIKKUNNU	KERALA	670004	IN		
408-0223753-0043561	408-0223753-0043561	2017-07-28T08:42:40+00:00	2017-07-28T16:23:30+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	849.0								Iritty, kannur	Kerala	670703	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
407-5383853-5515504	407-5383853-5515504	2017-07-28T07:37:38+00:00	2017-07-28T08:08:07+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										PALLIKKUNNU	KERALA	670004	IN		
